hotel,total,flagged,mean_auth,deception_rate
omni,80,43,0.4584963221785162,0.538
hilton,80,43,0.4636675433151788,0.538
affinia,80,42,0.49135551534333316,0.525
allegro,80,42,0.4929924192045848,0.525
swissotel,80,42,0.513592760504286,0.525
james,80,42,0.4836481901811792,0.525
talbott,80,42,0.48668403589728626,0.525
ambassador,80,41,0.48207629135567454,0.512
knickerbocker,80,41,0.5097327902365136,0.512
homewood,80,41,0.5015852160382359,0.512
hardrock,80,41,0.49762953294670265,0.512
fairmont,80,41,0.4800664375173822,0.512
amalfi,80,40,0.5019977579206019,0.5
sheraton,80,40,0.47751813062661597,0.5
conrad,80,40,0.4995129513546065,0.5
monaco,80,40,0.5034108600062819,0.5
palmer,80,38,0.49736266419235403,0.475
intercontinental,80,38,0.5239999186745541,0.475
sofitel,80,38,0.5102621351218348,0.475
hyatt,80,37,0.5386025273826387,0.462
